Cycles,Time,CPU Frequency,GFLOPS, CPE
75029.000000, 30000.0000000000, 2500966666.666667, 4.369067, 0.5724258423
82898.000000, 33200.0000000000, 2496927710.843373, 3.947952, 0.6324615479
76895.000000, 30800.0000000000, 2496590909.090909, 4.255584, 0.5866622925
73332.000000, 29400.0000000000, 2494285714.285714, 4.458231, 0.5594787598
61980.000000, 24800.0000000000, 2499193548.387097, 5.285161, 0.4728698730
65006.000000, 26100.0000000000, 2490651340.996169, 5.021916, 0.4959564209
68169.000000, 27300.0000000000, 2497032967.032967, 4.801172, 0.5200881958
63491.000000, 25400.0000000000, 2499645669.291338, 5.160315, 0.4843978882
63566.000000, 25400.0000000000, 2502598425.196850, 5.160315, 0.4849700928
63076.000000, 25200.0000000000, 2503015873.015873, 5.201270, 0.4812316895
71716.000000, 28700.0000000000, 2498815331.010453, 4.566969, 0.5471496582
67099.000000, 26900.0000000000, 2494386617.100372, 4.872565, 0.5119247437
70222.000000, 28200.0000000000, 2490141843.971631, 4.647943, 0.5357513428
68156.000000, 27300.0000000000, 2496556776.556777, 4.801172, 0.5199890137
74505.000000, 29800.0000000000, 2500167785.234900, 4.398389, 0.5684280396
70812.000000, 28400.0000000000, 2493380281.690141, 4.615211, 0.5402526855
74131.000000, 29700.0000000000, 2495993265.993266, 4.413199, 0.5655746460
66537.000000, 26600.0000000000, 2501390977.443609, 4.927519, 0.5076370239
73422.000000, 29400.0000000000, 2497346938.775510, 4.458231, 0.5601654053
78750.000000, 31500.0000000000, 2500000000.000000, 4.161016, 0.6008148193
